Price,Close,High,Low,Open,Volume
Date,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS
2/27/2024,1317.36108398437,1327.02242592321,1302.29934801256,1324.6938189813,2197456
2/28/2024,1287.68359375,1322.76172430508,1283.37317266864,1322.36533732926,2121625
2/29/2024,1308.49255371093,1317.8071027079,1281.29220785093,1288.17896238108,2672239
3/1/2024,1310.07800292968,1336.73342302945,1300.46625427646,1322.86072627451,3301090
3/4/2024,1330.39147949218,1344.21470228168,1324.24790555928,1333.01740677136,2170214
3/5/2024,1326.13073730468,1342.62924023047,1321.86978929988,1331.82845191373,1815438
3/6/2024,1312.75341796875,1332.37330064451,1292.14250750177,1330.49055347372,2758443
3/7/2024,1313.3974609375,1323.20746313121,1303.0425325421,1317.70800258526,1640786
3/11/2024,1314.88391113281,1330.14390214846,1310.02856391174,1318.89713261015,2217673
3/12/2024,1289.46728515625,1334.70209145311,1281.68856869333,1322.86080157594,3139768
3/13/2024,1198.55151367187,1296.10625157816,1177.2964876581,1295.115344658,8670336
3/14/2024,1256.3212890625,1264.39720449013,1184.82733203034,1198.99734908547,7195603
3/15/2024,1271.33349609375,1277.13027700858,1245.22312463338,1262.21720140377,4024586
3/18/2024,1255.08264160156,1258.5013429453,1216.09047970568,1238.63361143378,4858444
3/19/2024,1229.91357421875,1261.27580124305,1225.99954041686,1259.49224143068,2311324
3/20/2024,1234.07543945312,1241.55671374157,1219.01358246071,1236.65177312173,2772098
3/21/2024,1250.97033691406,1257.16350488753,1239.92182201763,1248.54266345258,3155563
3/22/2024,1269.9462890625,1277.37809098931,1243.63778281775,1250.97039728396,3076926
3/26/2024,1292.34069824218,1302.0516340032,1269.35170712184,1269.94622705489,3610644
3/27/2024,1310.77160644531,1330.78787607815,1300.16883076113,1303.04248476751,4938400
3/28/2024,1329.6484375,1346.34519504919,1302.05170373989,1321.86984230518,4188741
4/1/2024,1363.38879394531,1369.18557497387,1337.97200840128,1344.46249681875,3251462
4/2/2024,1391.38195800781,1411.99274910243,1375.57692026097,1385.08972333883,5769001
4/3/2024,1384.49499511718,1389.25139635616,1376.56774035909,1387.12092244786,2727582
4/4/2024,1354.42114257812,1395.79150780668,1349.86299479291,1395.79150780668,4197697
4/5/2024,1363.0419921875,1369.33422661428,1345.00741459352,1354.56969007249,1853120
4/8/2024,1336.38671875,1369.38384850856,1324.84262827565,1369.38384850856,14038860
4/9/2024,1344.16528320312,1352.48892580942,1333.85982668867,1343.81848996126,1935801
4/10/2024,1340.00341796875,1347.53428604086,1335.94060300535,1346.64244565962,3984001
4/12/2024,1331.97692871093,1346.04787844435,1328.80607520047,1337.724236779,2183230
4/15/2024,1303.58764648437,1322.86073768677,1296.70077081685,1307.99713389253,3372368
4/16/2024,1292.48937988281,1309.97891071183,1282.62990469539,1290.16077287958,2696593
4/18/2024,1283.76953125,1324.34712195611,1279.26085630029,1303.98393600655,6219274
4/19/2024,1298.08801269531,1304.03345397483,1258.4517374985,1268.3608062977,3899281
4/22/2024,1309.08715820312,1318.89716128074,1303.04264995055,1309.08715820312,8903130
4/23/2024,1310.07800292968,1326.37849419293,1306.90714919839,1309.08709601862,3847872
4/24/2024,1308.49255371093,1320.77982339032,1306.06488020442,1318.8970760994,2553035
4/25/2024,1318.451171875,1324.79287901516,1304.82620254051,1308.49250954094,6097087
4/26/2024,1312.55517578125,1329.40059205751,1309.08700184201,1327.81516530593,2565490
4/29/2024,1305.27209472656,1323.60387210552,1295.11529915173,1322.16710550589,2191564
4/30/2024,1312.85266113281,1322.51400403429,1304.28129169994,1311.51496092313,2321071
5/2/2024,1326.62622070312,1336.43610235282,1294.66947282645,1321.82022541698,7991511
5/3/2024,1308.29443359375,1341.68794787081,1298.53390382215,1340.69704096691,3528822
5/6/2024,1278.22033691406,1310.47440564119,1245.57000218599,1310.47440564119,4000668
5/7/2024,1275.94128417968,1289.31852722696,1253.49721887496,1279.35986457431,3474340
5/8/2024,1265.6357421875,1281.93611107406,1257.5103546069,1281.58931787738,1627418
5/9/2024,1233.23327636718,1274.10818750318,1228.72460142139,1267.36997194996,2591646
5/10/2024,1255.23132324218,1267.07261238539,1234.42227821508,1238.6336325658,2022402
5/13/2024,1294.52075195312,1301.06071306665,1250.17766976749,1255.47899730041,2495810
5/14/2024,1319.14489746093,1327.71626690223,1273.5631770604,1294.52088356706,2989543
5/15/2024,1325.68481445312,1341.63839186227,1320.87894002618,1325.68481445312,2189768
5/16/2024,1332.81945800781,1354.3220907053,1298.58357407667,1339.9043460199,4822618
5/17/2024,1323.55432128906,1331.08531063013,1309.13669821597,1317.90620024357,1945123
5/21/2024,1372.90148925781,1386.0805992133,1320.87887779189,1331.7788535276,4200578
5/22/2024,1365.66784667968,1381.67101737101,1351.79515002398,1381.67101737101,1878562
5/23/2024,1430.22546386718,1435.62597910102,1357.44339973671,1371.41516297086,7821034
5/24/2024,1403.22326660156,1431.81090707964,1369.58202501856,1421.95143160006,19100263
5/27/2024,1418.63195800781,1443.80101870944,1410.65510868266,1431.8605415875,5517078
5/28/2024,1387.76513671875,1424.92414609179,1385.28786942721,1424.92414609179,4070886
5/29/2024,1397.1787109375,1414.86637468177,1370.32515848672,1393.21508338874,3214475
5/30/2024,1370.91967773437,1400.79554456011,1361.15926909255,1397.17871023163,3477661
5/31/2024,1424.32971191406,1437.80602259956,1378.35160402205,1378.35160402205,8238969
6/3/2024,1569.54699707031,1606.65653449846,1521.04215080814,1534.91484794906,23398347
6/4/2024,1237.59313964843,1543.83296925796,1177.197411732,1543.83296925796,52109624
6/5/2024,1342.28247070312,1355.56064743586,1150.04653093517,1269.35174661208,20879925
6/6/2024,1340.6474609375,1391.23330728228,1332.5716663565,1371.4151690019,12153840
6/7/2024,1366.31201171875,1372.40611359936,1342.72849909374,1345.35430571973,5884018
6/10/2024,1371.46472167968,1402.4800345839,1368.69013401936,1391.2332656385,4843234
6/11/2024,1390.68823242187,1405.89875001763,1371.46473544069,1378.35148997195,4122878
6/12/2024,1381.27465820312,1401.58825014332,1377.95514420008,1398.91284983288,3258265
6/13/2024,1391.67919921875,1398.16968803991,1375.42842222098,1390.8369525144,2839159
6/14/2024,1423.77307128906,1435.01840977709,1388.69373776295,1402.17818264627,5651491
6/18/2024,1438.00390625,1451.5380363659,1427.10697022342,1439.99422307525,5651898
6/19/2024,1441.38745117187,1444.9699971168,1413.57270099819,1438.99904671549,4484742
6/20/2024,1462.28576660156,1469.64996300376,1437.10821067328,1452.23469113065,4905603
6/21/2024,1478.30773925781,1491.64288553687,1462.88278472499,1472.78456178499,25891893
6/24/2024,1453.18005371093,1472.48615096827,1443.17866319845,1467.70934205618,3009931
6/25/2024,1449.09985351562,1461.78812245945,1430.04254684531,1459.05143700097,3343186
6/26/2024,1460.69348144531,1467.36099382928,1444.02457900608,1451.83654779368,3217949
6/27/2024,1478.30773925781,1486.76658529193,1451.93604279848,1468.45564722809,7803408
6/28/2024,1470.94360351562,1486.76664633675,1438.00388484378,1472.83442876733,11534763
7/1/2024,1467.36096191406,1484.17916203653,1464.47497845269,1475.81980774401,3372730
7/2/2024,1467.70935058593,1482.38793707236,1448.00528703749,1472.33686146904,5368562
7/3/2024,1503.33605957031,1506.66981591071,1463.67902167063,1472.63544726059,4435563
7/4/2024,1496.36987304687,1512.64068772756,1487.11485182629,1507.31661486595,2980840
7/5/2024,1493.18530273437,1502.19153442416,1486.66708840732,1500.69879689409,2111633
7/8/2024,1468.1572265625,1493.78255519582,1461.88768009155,1488.75695671679,2177821
7/9/2024,1470.84411621093,1496.66842811696,1467.85864100888,1472.8344330123,2256634
7/10/2024,1480.5966796875,1487.21438570126,1452.93122825638,1484.77629627295,2082079
7/11/2024,1476.66577148437,1491.24486637913,1470.74462758029,1487.76181196984,1765496
7/12/2024,1479.501953125,1489.75213329516,1473.97889686108,1482.78602445544,2018935
7/15/2024,1487.8115234375,1497.71330031965,1478.10872963144,1486.76655858974,1913095
7/16/2024,1491.79223632812,1503.28624286975,1486.02026906199,1488.75695464038,2170314
7/18/2024,1486.66711425781,1496.96697909851,1465.07210472643,1482.78597231629,3263419
7/19/2024,1462.18627929687,1494.92689332979,1458.40462880174,1485.32371199536,2568243
7/22/2024,1460.24560546875,1467.85859127188,1435.56575085561,1462.88279943706,1721261
7/23/2024,1500.05200195312,1509.65530488586,1412.1297809051,1460.89254289548,5987213
7/24/2024,1477.61120605468,1506.22200937975,1472.83439725565,1500.69883179832,2201442
7/25/2024,1479.80053710937,1492.19021056675,1459.74807110352,1463.87800274908,2211808
7/26/2024,1535.28063964843,1540.40572976454,1482.78603343132,1488.6574923562,4500728
7/29/2024,1541.20178222656,1551.4519624496,1532.54395264425,1540.40572838549,1928637
7/30/2024,1538.763671875,1549.36213310244,1528.56329830234,1547.07322019686,2800881
7/31/2024,1562.29919433593,1570.26046152513,1539.510042711,1549.46162669749,2622023
8/1/2024,1582.451171875,1597.17944347326,1560.90596797653,1573.29564160432,7160588
8/2/2024,1580.3115234375,1591.95482800964,1542.69448770098,1572.30044980568,4313297
8/5/2024,1486.61730957031,1555.88030795885,1464.42535076446,1532.54389272946,7147230
8/6/2024,1486.86608886718,1532.2950925258,1480.89513867712,1517.51701510124,3159971
8/7/2024,1536.32556152343,1540.3558800903,1506.86877617911,1512.64074339695,2258441
8/8/2024,1511.64562988281,1548.46649117686,1506.47085472509,1530.55363973651,2468123
8/9/2024,1526.3740234375,1536.02701145811,1511.64563032386,1534.03669463083,1503033
8/12/2024,1494.130859375,1516.87020472184,1450.2940828725,1492.73761330672,9230512
8/13/2024,1476.26770019531,1510.10308626074,1472.33687305296,1498.5592729578,2485446
8/14/2024,1454.87170410156,1480.79562776264,1444.96992709096,1480.79562776264,2648057
